"","word","sentiment"
"1","abacus","trust"
"2","relinquere","fear"
"3","relinquere","negative"
"4","relinquere","sadness"
"5","relicta","anger"
"6","relicta","fear"
"7","relicta","negative"
"8","relicta","sadness"
"9","desertio","anger"
"10","desertio","fear"
"11","desertio","negative"
"12","desertio","sadness"
"13","desertio","surprise"
"14","abba","positive"
"15","abbas","trust"
"16","raptum","fear"
"17","raptum","negative"
"18","raptum","sadness"
"19","raptum","surprise"
"20","aberrant","negative"
"21","aberratio","disgust"
"22","aberratio","negative"
"23","abominari","anger"
"24","abominari","disgust"
"25","abominari","fear"
"26","abominari","negative"
"27","abominabilis","anger"
"28","abominabilis","disgust"
"29","abominabilis","fear"
"30","abominabilis","negative"
"31","facultatem","positive"
"32","abiectio","disgust"
"33","abiectio","negative"
"34","alius","disgust"
"35","alius","negative"
"36","abolere","anger"
"37","abolere","negative"
"38","abolitio","negative"
"39","abominabilis","disgust"
"40","abominabilis","fear"
"41","abominabilis","negative"
"42","abominatio","anger"
"43","abominatio","disgust"
"44","abominatio","fear"
"45","abominatio","negative"
"46","abort","negative"
"47","abortum","disgust"
"48","abortum","fear"
"49","abortum","negative"
"50","abortum","sadness"
"51","abortivum","negative"
"52","abortivum","sadness"
"53","de quibus supra","positive"
"54","abrasione","negative"
"55","abrogare","negative"
"56","abruptum","surprise"
"57","apostema","negative"
"58","apostema","sadness"
"59","absentia","fear"
"60","absentia","negative"
"61","absentia","sadness"
"62","absens","negative"
"63","absens","sadness"
"64","absentium","negative"
"65","absentium","sadness"
"66","absenteeism","negative"
"67","absolutum","positive"
"68","absolutio","joy"
"69","absolutio","positive"
"70","absolutio","trust"
"71","absorptus","positive"
"72","absurdum","negative"
"73","absurditas","negative"
"74","abundantia","anticipation"
"75","abundantia","disgust"
"76","abundantia","joy"
"77","abundantia","negative"
"78","abundantia","positive"
"79","abundantia","trust"
"80","abundat","joy"
"81","abundat","positive"
"82","abusu","anger"
"83","abusu","disgust"
"84","abusu","fear"
"85","abusu","negative"
"86","abusu","sadness"
"87","abyssus","negative"
"88","abyssus","sadness"
"89","abyssus","fear"
"90","abyssus","negative"
"91","abyssus","sadness"
"92","academica","positive"
"93","academica","trust"
"94","academiae","positive"
